№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
529,,,,Высшая школа культурной политики и управления в гуманитарной сфе,7,"1, 2, 4",  -,Социологический,2,  -,  -,1,  -,  -,  -,собственные представления о реальности,нет других, -,2, -, -, -,7, -, -,56,73,75,58, -,4,4,4,1,1,1,4,1,3,1,6,З.О.,,,3,1,19,1,1,-,-,7,4,-,-,-,4,4,-,-,-,3
530,неизведанный, загадочный, обнадеживающий,Биологический факультет,5,5,  -,"исторический, мировая политика",2,  -,  -,2,1,  -,  -, -,нет других, -,2, -, -, -,1, -, -,64,82,87,58,91,2,2,3,1,1,1,1,1,1,3,5,,,,1,2,18,1,1,-,-,4,4,-,-,-,6,2,английский,французский,-,7
531,впечатляющий, величественный, престижный,Философский факультет,7,3,  -,химический,1,"Учителя, бабушка, родители",2,2,3,  -,  -, -,РГГУ,филологический,2, -, -, -,4.5,МГУ, -,60,92,55,95,66,4,3,2,5,2,1,2,1,3,4,5,,,,2,3,16,1,1,-,-,6,6,-,-,-,4,4,английский,немецкий,латынь,3
532,интересный,бюджетный,прикольный,Философский факультет,10,3,  -,факультет глобальных процессов,1,друг,1,2,1,  -,  -, -,нет других, -,3, -, -, -,1, -, -,66,80,65,82,81,4,1,4,2,1,2,2,1,2,3,10,,,,1,1,18,1,1,-,-,4,4,-,-,-,7,2,английский,французский,-,1
533,фундаментальный, интересный,,Факультет искусств,7,3,  -, -,2,  -,  -,2,1,2,  -, -,РГУНГ им.Губкина,экономический,2,3,5, -,1,МГУ, -,92,84,72,70,55,2,3,2,2,1,2,3,2,3,3,6,,,,1,3,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
534,Запасной, хороший, возможный,Экономический факультет,5,2,  -,"Государственное управление, социологический",1,Сестра,4,2,1,5,  -, -,МЭСИ,экономический,2, -, -, -,1, -, -,83,82,80,92,56,3,2,3,2,1,3,2,1,1,3,5,,,,2,2,17,2,2,Подольск,-,4,4,-,-,-,5,1,английский,-,-,7
535,застарелый, большой, нормальный,Факультет вычислительной математики и кибернетики,8,3,  -,философский,2,  -,  -,1,1,  -,  -,желание работать по этой специальности,нет других, -,1,3, -, -,"1,2,5", -, -,32,70,93,56,75,3,2,4,2,2,1,3,1,4,3,9,счетная палата РФ,аудит,,1,3,17,1,1,-,-,4,4,-,-,-,5,1,французский,-,-,3
536,серьёзный, интересный, увлекательный,Юридический факультет,7,2,  -,"Государственное управление, политология",2,  -,  -,1,3,  -,  -, -,РАНХиГС,"юридический, международные отношения",2,3, -, -,7, -, -,44,87,83,83,96,4,1,3,2,2,1,2,1,2,3,7,,,,2,2,18,1,2,-,-,4,4,-,-,-,7,1,английский,-,-,3
537,престижный, сложный, интересный,Экономический факультет,8,6,  -,Высшая школа государственного администрирования ,2,  -,  -,2,  -,  -,  -,мой выбор,МГУ,ВШГА,2,5,6, -,1, -, -,60,72,57,45,65,2,2,2,2,2,3,2,2,1,3,8,,,,1,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
538,классный,лучший,любимый,Экономический факультет,6,3,  -,"ИСАА, зарубежное регионоведение",2,  -,  -,2,1,  -,  -, -,МГИМО,международные отношения,6, -, -, -,3, -, -,55,66,65,77,91,2,3,2,2,2,1,1,1,3,3,8,МИД РФ,дипломат,,1,3,18,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,7
539,престижный,востребованный, труднодостигаемый,Юридический факультет,8,2,  -,философский,1,"Сестра, дядя ",2,1,1,  -,  -, -,РАНХиГС,юридический,1,2,3, -,5, -, -,56,87,83,56,58,4,2,3,1,1,1,2,1,2,3,7,,,,1,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
540,интересный, сложный, увлекательный,Факультет государственного управления,7,7,  -,"политология,исторический",2,  -,  -,2,7,  -,  -,никто,ГУ ВШЭ,"права,исторический",1,2,5, -,5, -, -,52,72,83,58,84,5,3,3,1,2,2,5,2,5,3,7,,,,2,2,18,1,2,Казань,-,4,4,-,-,-,4,2,английский,немецкий,-,4
541,престижный, комфортный,,Высшая школа современных социальных наук (факультет),6,3,  -,"мех.мат, биоинженерии",2,  -,  -,1,2,3,6, -,МГТУ Баумана,наук,1,3,6, -,1, -, -,77,87,72,97,65,1,3,2,2,2,3,3,1,2,3,8,,,,2,2,18,1,2,Волгоград,-,4,2,-,-,-,4,2,английский,немецкий,-,3
542,умный серьезный престижный,,,Экономический факультет,10,1,  -,"экономический,государственное управление",1,"мама,папа",1,1,1,5,  -,родственники,нет других, -,3,4,5, -,1, -, -,68,71,58,83,54,4,1,4,1,1,2,2,1,1,2,8,,,,1,2,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
543,приоритетный, перспективный,интересный,Экономический факультет,10,3,  -,"политология,мировой политики",2,  -,  -,2,1,3,5, -,МГИМО,междунар. Отношений,1, -, -, -,5, -, -,48,100,90,90,98,2,3,5,2,4,4,4,1,4,4,10,,,,1,2,17,1,2,Ростов,-,4,4,-,-,-,7,1,английский,-,-,3
544,,,,Экономический факультет,7,3,  -,"глобальных процессов,мировой политики",2,  -,  -,2,2,3,6, -,МГИМО,междунар. Отношений,1,2,3, -,1.5, -, -,72,90,88,88,91,3,3,2,2,1,2,3,1,5,5,7,,,,1,2,17,2,2,Ростов,-,4,4,-,-,-,5,2,английский,немецкий,-,3
545,Серьезный,желанный,привлекательный,Юридический факультет,7,3,  -, -,2,  -,  -,2,1,3,6, -,ГУ ВШЭ,логистика,1,2,6, -,1, -, -,66,82,75,93,65,2,4,1,5,2,1,3,5,3,2,6,,,,1,3,16,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
546,,,,Высшая школа перевода (факультет),8,5,  -, -,1,знакомый,1,2,1,2,4, -,МПГУ,"филология,сизеф",1,5,6, -,1,МГУ, -,56,98,83,88, -,1,2,3,2,1,3,1,2,2,5,1,,,,2,2,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
547,авторитетный, правовой, государственный,Юридический факультет,10,5,  -,"мех.мат,журналистика",1,папа,3,1,1,3,4, -,РГУФК, -,1,2,3, -,"1,2,3", -, -,55,65,66,56, -,4,4,4,1,4,1,2,1,1,1,10,МГУ,физическоге воспитание,выступления,1,3,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
548,Интересный, захватывающий, умный,Исторический факультет,8,3,  -,управления персоналом,2,  -,  -,2,3,5,6, -,МГЛУ,гостиничное дело,1,2,3, -,5, -, -,52,90,71,85, -,4,1,4,2,2,2,3,1,1,5,8,,,,2,2,18,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,2
549,интересный,фундаментальный,исследовательский,Факультет иностранных языков и регионоведения,10,6,  -,Высшая школа современных социальных наук,2,  -,  -,1,  -,  -,  -,собственное желание,ГУУ,социология,1,2,5, -,1, -, -, -, -,90,92, -,4,4,4,1,1,1,1,1,2,4,4,,реклама и связи с обществ.,,2,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
550,престижный, интересный, хороший,Факультет государственного управления,7,2,  -, -,2,  -,  -,2,1,2,3, -,МГУ,экономический,1,2,3, -,1, -, -,68,98,83,65, -,3,2,2,2,1,2,4,2,3,4,6,,,,3,3,17,1,1,-,-,4,4,-,-,-,4,2,английский,французский,-,2
551,занимательный,воодушевляющий,интересный,Факультет государственного управления,7,3,  -,Факультет государственного управления,2,  -,  -,2,1,2,3, -,МГУ,экономический,1,2,3, -,5, -, -,90,98,98,98,65,2,5,2,2,2,2,2,2,3,3,7,,,,3,3,17,1,1,-,-,4,4,-,-,-,7,2,английский,немецкий,-,3
552,Престижный, интересный, перспективный,Исторический факультет,8,5,  -,Высшая школа бизнеса,1,друзья,1,1,1,4,5, -,НИУ ВШЭ,экономический,2, -, -, -,4,НИУ ВШЭ, -,72,92,83,87,58,2,2,2,5,2,1,5,1,5,2,7,,,,1,2,17,2,1,-,-,4,4,-,-,-,6,2,английский,французский,-,7
553,развивающий, обучающий , экономический,Экономический факультет,6,2,  -,Высшая школа бизнеса,2,  -,  -,4,1,2,3, -,РГУ им. Губкина,экономический,1,2,5, -,1, -, -,56,57,70,66,55,2,3,3,2,3,2,2,2,1,2,7,,,,1,3,17,1,1,-,-,1,1,-,-,-,6,1,английский,-,-,2
554,работу не найти, интересный, потрясающий,Филологический факультет,8,2,  -,Экономический,1,отец,4,1,1,2,4, -,МГУ,Высшая школа бизнеса,1, -, -, -,3, -, -,68,69,78,66,56,2,3,1,4,2,1,1,2,2,3,5,Кока-Кола,менеджер,управление,1,2,18,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
555,мудрый, перспективный, желанный,Исторический факультет,5,6,  -,Социологический,2,  -,  -,2,1,4,5, -,ВАВТ,ФЭМ,1, -, -, -,1, -, -,77,84,78,88,46,2,3,4,2,3,2,3,2,1,3,5,,,,3,2,17,1,1,-,-,4,4,-,-,-,4,2,английский,французский,-,3
556,интересный,захватывающий,политологический,Факультет политологии,8,2,  -,Факультет государственного управления,2,  -,  -,2,1,2,4, -,МГИМО,МЭО,1,2,3, -,1, -, -,85,100,65,88,58,4,3,1,4,4,2,1,4,3,3,7,Google,экономические вопросы,финансовый аналитик,2,3,17,1,1,-,-,4,4,-,-,-,4,2,французский,английский,-,2
557,Стабильность, интересный, иностранный язык,Факультет мировой политики,7,2,  -, -,2,  -,  -,2,1,2,3, -,МГТУ им. Баумана,судебная экспертиза,2, -, -, -,2, -, -,53,58,53,54,48,2,2,1,2,3,1,2,2,1,1,6,"ООО ""Защита""",,,1,2,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
558,перспективный,лучший, интересный,Экономический факультет,9,3,  -,Факультет государственного управления,2,  -,  -,4,1,2,3, -,НИУ ВШЭ,экономический,1,2,5, -,1, -, -,92,90,88,99,65,5,2,3,2,2,2,5,1,2,5,9,,,,1,3,17,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,2
559,Востребованный, современный,эффективный,Экономический факультет,6,5,  -, -,1,друзья,4,3,1,2,5, -,МГУ,экономический,1,3, -, -,2, -, -,40,66,45,56,58,1,4,2,1,2,3,1,2,3,3,6,,,,2,2,18,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
560,интересный,,,Экономический факультет,7,3,  -,факультет государственного управления,2,  -,  -,1,2,3,6, -,нет других, -,1,2,3, -,1, -, -,77,87,90,80,55,4,1,3,2,1,2,2,1,2,1,8,,,,1,2,18,1,1,-,-,6,6,-,-,-,4,2,английский,французский,-,5
561,перспективный, с общительными студентами, современный,Факультет глобальных процессов,10,2,  -,факультет государственного аудита,2,  -,  -,1,1,2,5, -,МГИМО,экономический,1,2,3, -,1, -, -,79,87,90,90,56,1,3,3,1,1,2,2,1,2,3,10,ВР,финансы-кредит,бух. учет ,2,2,17,1,2,-,-,4,4,-,-,-,6,1,английский,-,-,3
562,милый, фундаментальный, хороший,Физический факультет,7,2,  -,факультет государственного управления,2,  -,  -,1,1,6,7,собственное желание,МГИМО,МЭО,1,2,3, -,7, -, -,68,98,75,93,46,2,3,2,1,1,1,3,1,2,4,7,,,,2,2,17,1,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,2
563,престижный, хороший, современный,Юридический факультет,4,5,  -, -,1,знакомый,1,1,1,2,5, -,РУДН,журналистика,1,2,3, -,1, -, -,52,95,71,37,58,5,5,5,5,5,5,5,5,5,5,7,радио/теле сфера,журналистика,,2,2,17,2,2,Лакинск,-,2,4,-,-,-,4,1,английский,-,-,3
564,перспективный интересный желанный,,,Исторический факультет,7,7,  -,факультет государственного управления,1,знакомый,1,2,1,2,5, -,НИУ ВШЭ,экономика,1,2,3, -,1, -, -,70,98,93,95,48,1,2,2,2,1,1,1,1,4,2,8,Посольство России в Германии,Вице-консул,,2,2,17,2,1,-,-,5,5,-,-,-,7,2,английский,немецкий,-,1
565,классический, большой, естественно-научный,Химический факультет,8,3,  -, -,2,  -,  -,1,3,6,7,собственное желание,РГУ Нефти и Газа им. Губкина,менеджмент,2,3,5, -,1, -, -,72,65,72,54,65,4,1,3,1,5,1,1,1,2,1,2,,,,1,3,18,1,2,Череповец,-,4,4,-,-,-,6,2,английский,казахский,-,4
566,интересный, престижный, перспективный,Экономический факультет,3,3,  -, -,2,  -,  -,2,1,2,4, -,нет других, -,1,4,6, -,1, -, -,66,87,88,73,58,5,2,2,2,2,2,3,1,4,4,3,,,,2,2,18,2,2,Элиста,-,2,2,-,-,-,7,1,английский,-,-,3
567,высокоинтеллектуальный,,,Факультет вычислительной математики и кибернетики,7,3,  -,факультет глобальных процессов,2,  -,  -,2,1,2,6, -,НИУ ВШЭ,политология,1,2,6, -,2, -, -,60,100,88,72,100,1,3,2,1,1,4,2,2,2,3,8,МИД России,,,2,2,18,2,2,-,-,1,2,-,-,-,4,1,английский,-,-,3
568,перспективный, творческий, престижный,Исторический факультет,10,2,  -,факультет государственного управления,2,  -,  -,2,1,4,5, -,МПГУ Им. Ленина,социология,1,2,3, -,1, -, -,80,90,75,84,70,5,1,2,1,1,1,2,1,4,5,8,,,,2,3,18,2,1,-,-,2,2,-,-,-,4,1,английский,-,-,3
569,Интересный увлекательный познавательный,,,Факультет государственного управления,7,7,  -,факультет журналистики,1,знакомый,3,1,1,5,6, -,РГГУ,журналистики,2,4,5, -,1, -, -,32,82,58,73,56,3,2,1,2,2,2,4,1,3,4,7,,журналистика,"письменное, словестное творчество",3,2,17,2,1,-,-,3,3,-,-,-,5,3,английский,французский,китайский,2
570,интересный, тяжелый, нужный,Факультет вычислительной математики и кибернетики,4,3,  -, -,2,  -,  -,2,  -,  -,  -,статус университета,РГГУ,фунд. И прикл. Лингвистики,1,4,6, -, -,МГТУ им. Баумана, -,87,92,45,93, -,2,4,1,1,1,2,4,2,1,5,8,не хочу работать,,,2,3,17,1,1,-,-,3,3,-,-,-,4,1,английский,-,-,3
571,престижный, интересный, девчачий,Филологический факультет,7,3,  -,Высшая школа бизнеса,2,  -,  -,5,1,  -,  -, -,МГУ,социологический,1, -, -, -,7, -, -,56,84,85,56, -,4,1,4,1,1,1,4,1,1,4,5,З.О.,,,1,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
572,холодно, тихо, большой,Биологический факультет,3,3,  -,психологический,2,  -,  -,4,  -,  -,  -,мой кот,РУДН,экологический,2, -, -, -,7, -, -,68,72,62,58, -,4,5,4,5,3,2,5,5,2,2,8,,,,2,3,17,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
573,технический, сложный, классный,Физический факультет,10,3,  -,"физ.фак, мех. Мат.",1,знакомые,3,1,1,2,  -, -,МГУ,"мех.мат, физ.фак",1,2,3, -,7, -, -,79,81,55,66, -,3,3,3,1,1,4,1,2,3,3,7,,инженер,технический директор,2,2,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
574,современный,эффективный,престижный,Экономический факультет,6,3,  -, -,2,  -,  -,2,1,  -,  -, -,МГЮА,юридический,1, -, -, -,5, -, -,96,89,90,94,94,3,1,3,1,1,2,2,1,1,2,6,международная компания,юрист,,2,2,18,2,2,-,-,2,4,-,-,-,7,1,английский,-,-,3
575,задротский старый тухлый,,,Физический факультет,10,5,  -, -,1,родители,1,1,1,  -,  -, -,НИУ ВШЭ,юридический,, -, -,желание родителей, -, -,папа,65,55,80,33,48,1,2,3,4,5,1,2,3,4,5,1,З.О.,хочу сидеть дома и чтобы на компьютере было много игр,З.О.,2,3,17,1,1,-,-,7,7,-,-,-,7,,-,-,-,1
576,перспективный, успешный, известный,Экономический факультет,6,3,  -,"филологический, исторический",1,друг,1,1,1,  -,  -, -,ВГНА,юридический,2, -, -, -,7, -, -,63,56,93,66,91,4,4,1,1,1,1,1,4,1,1,5,следственное управление следственного комитета РФ,следователем,расследовать дела,3,1,18,2,2,-,-,2,4,-,-,-,6,1,английский,-,-,2
577,Престижный, востребованный, красивый,Экономический факультет,9,3,  -,"глобальных процессов, ИСАА",2,  -,  -,1,1,  -,  -, -,МГИМО, -,3, -, -, -,2, -, -,60,62,55,97,91,2,3,3,2,2,3,2,2,2,3,8,,политолог,,1,3,18,1,1,-,-,4,4,-,-,-,5,2,английский,французский,-,3
578,серьезный, многопрофильный,,Социологический факультет,9,1.3,  -,юридический,2,  -,  -,1,1,  -,  -, -,МГИМО,международных отношений,2,3,5, -,1.5, -, -,72,84,63,75,66,3,2,2,1,1,2,1,1,2,2,8,,,,1,1,18,2,2,Лагань,-,4,4,-,-,-,5,2,английский,немецкий,-,3
579,интересный, всеобъемлющий, универсальный,Философский факультет,10,3,  -,"иностранных языков, ИСАА",2,  -,  -,1,1,  -,  -, -,МГИМО,"международных отношений, политолгия",2,5, -, -,1, -, -,60,98,54,93,98,4,3,2,1,2,3,2,1,2,4,10,,международник,,2,2,17,2,2,"Изобильный, Ставропольский край",-,4,4,-,-,-,4,1,английский,-,-,3
580,интересный,сложный,далекий,Факультет фундаментальной медицины,1,1,  -, -,2,  -,  -,1,2,  -,  -, -,нет других, -,2,3,4, -,7, -, -,55,66,66,56,66,2,5,1,3,5,1,1,3,4,5,,,,,3,3,24,1,1,-,-,4,4,-,-,-,3,2,английский ,немецкий,-,3
581,фундаментальный,интересный,,Исторический факультет,8,4,  -, -,1,друзья,1,2,1,  -,  -, -,МГЮА,юридический,2,3, -, -,1, -, -,72,79,90,66,79,3,3,2,1,1,2,2,3,2,3,7,,,,2,2,18,1,2,Элиста,-,4,4,-,-,-,4,1,английский ,-,-,3
582,Дорогой, новый, хороший,Высшая школа бизнеса (факультет),7,5,  -,мировая поитика,2,  -,  -,1,5,  -,  -, -,РУДН,Международных отн.,2, -, -, -,1, -, -,60,82,65,65,58,1,5,4,1,2,1,2,1,4,4,6,"МИД РФ, посольство РФ",,,3,3,16,2,2,Элиста,-,4,4,-,-,-,5,2,английский ,японский,-,2
583,Экономический, московский, лучший,Экономический факультет,6,5,  -,государственного управления,1,брат,4,2,1,  -,  -,самостоятельно,МГЮА,международное право,2,3,5, -,4,РГГУ, -,48,64,59,65,59,3,1,4,5,2,2,5,2,2,5,6,государственный сектор,юрист,,2,3,16,2,1,-,-,4,4,-,-,-,5,2,английский ,корейский,-,2
584,веселый, общительный, креативный,Факультет глобальных процессов,8,5,  -,государственный аудит,2,  -,  -,1,1,  -,  -, -,МГЮА,юридический,1,2, -, -,4,МГУ, -,56,82,65,54,54,3,1,3,2,3,1,2,1,3,3,8,"счетная палата РФ, коллегия адвокатов",,,1,2,17,2,1,-,-,1,1,-,-,-,6,2,английский ,французский,-,2
585,супер, интересный, сложный,Экономический факультет,10,6,  -, -,2,  -,  -,1,6,  -,  -, -,МГЮА,юридический,1,2, -,минимальная стоимость на рынке труда,4,МГЮА, -,52,73,71,48,71,3,4,2,1,1,4,2,1,2,3,10,международная компания,,,1,2,17,1,1,-,-,4,4,-,-,-,5,1,английский ,-,-,2
586,большой, умный, престижный,Экономический факультет,5,3,  -,химический,2,  -,  -,2,2,  -,  -, -,РХТУ,химический,2, -, -, -,1, -, -,44,82,65,55,55,4,2,3,5,5,3,3,5,2,4,8,,,,2,2,18,2,1,-,-,4,4,-,-,-,6,1,английский ,-,-,3
587,Престижный,высокооплачиваемый,уютный,Экономический факультет,7,6,  -,глобальных процессов,2,  -,  -,2,1,  -,  -, -,ГУУ,гос. Управления,1,2,5, -,1, -, -,70,88,90,70,72,3,2,3,4,5,1,2,1,1,2,7,,,,1,2,19,1,1,-,-,4,4,-,-,-,6,1,английский ,-,-,3
588,ответственный, сложный, интересный,Юридический факультет,6,6,  -, -,2,  -,  -,1,1,  -,  -, -,РГГУ нефти и газа им. Губкина,юридический,2, -, -, -,5, -, -,60,72,84,56,93,3,3,4,2,2,1,2,1,3,3,8,,,,2,2,16,1,2,Нальчик,-,4,4,-,-,-,5,1,английский ,-,-,3
589,Интересный, востребованный, красивый,Факультет государственного управления,7,5,  -,экономический,2,  -,  -,2,1,6,  -, -,нет других, -,1,2, -, -,1, -, -,60,92,80,71,84,2,1,3,2,2,1,2,1,5,2,7,МИД РФ,,,1,2,18,2,1,-,-,4,4,-,-,-,4,2,английский ,французский,-,3
590,престижный, красивый,,Экономический факультет,10,5,  -,филологический,2,  -,  -,1,1,  -,  -, -,рггу,философский,2,5,6, -,7, -, -,82,90,100,100,82,1,4,4,5,3,1,1,1,4,5,10,З.О.,,,2,2,17,1,1,-,-,7,7,-,-,-,1,1,английский,-,-,5
591,прекрасный, удивительный, интересный,Факультет журналистики,6,3,  -, -,1,старший брат,2,2,5,  -,  -, -,мгимо,мбда,1,3,6, -,1, -, -,74,80,71,63, -,3,1,3,4,4,1,4,1,4,1,6,госслужба,,,1,2,17,2,1,-,-,6,6,-,-,-,4,1,английский,-,-,3
592,перспективный, сложный, интересный,Механико–математический факультет,4,5,  -,философский,2,  -,  -,1,1,3,6, -,рудн, -,2,4,5, -,2, -, -,57,63,74,84, -,2,4,2,2,3,1,4,1,3,2,4,писать статьи в научные журналы,,,2,2,18,2,1,-,-,5,5,-,-,-,5,1,английский,-,-,3
593,промышленный, полезный, научный,Факультет биоинженерии и биоинформатики,6,4,  -,нету,2,  -,  -,2,1,  -,  -, -,мгу,вшссн,1, -, -, -,4,мэси, -,63,70,68,59, -,2,3,2,1,2,2,1,1,1,3,6,З.О.,,,2,2,18,2,1,-,-,2,2,-,-,-,5,1,английский,-,-,3
594,интересный,заманчивый,интригующий,Исторический факультет,8,4,  -, -,2,  -,  -,4,2,  -,  -, -,меси,гос управление,3, -, -, -,2, -, -, -,100,88, -, -,3,2,2,1,1,3,3,1,2,3,8,З.О.,,,2,2,17,2,2,Киров,-,4,4,-,-,-,5,1,немецкий,-,-,3
595,лучший,престижный,красивый,Экономический факультет,4,2,  -, -,2,  -,  -,3,1,  -,  -, -, -,государственное управление,2,6, -, -,3, -, -,82,92,70,76, -,3,2,2,1,1,3,3,1,2,3,7,,,,1,1,16,2,2,Сургут,-,7,4,-,-,-,3,2,английский,немецкий,-,3
596,Серьезный, сложный, престижный,Философский факультет,5,4,  -, -,1,мама,3,3,1,3,5, -,вавт,фэм,3,4,5, -,2, -, -,49,80,83,81, -,2,3,3,4,4,3,3,4,3,2,6,,,,2,2,17,1,1,-,-,5,5,-,-,-,5,1,английский,-,-,2
597,умный полезный успешный,,,Экономический факультет,9,1,  -,вшссн,2,  -,  -,2,1,2,5, -,фу,социология,2,5, -, -,1, -, -,58,86,92,98, -,1,1,4,1,4,3,2,5,3,1,9,,,,1,2,16,2,2,Ростов,-,3,6,-,-,-,6,3,английский,итальянский,французский,2
598,лучший, крутой, престижный,Экономический факультет,6,2,  -, -,2,  -,  -,2,1,2,  -, -,рэу им. Плеханова,экономический,1,2, -, -,1, -, -,68,74,75,79, -,1,3,2,1,2,2,1,1,2,2,6,,,,1,2,18,2,1,-,-,4,4,-,-,-,4,2,английский,итальянский,-,3
599,интересный. развивающий, востребованный,,Факультет государственного управления,6,1,  -, -,2,  -,  -,1,1,5,  -, -,рэу им. Плеханова,экономический,1,2,1, -,2, -, -,79,91,90,95, -,1,4,2,2,2,3,1,1,1,3,7,,,,1,2,18,1,1,-,-,4,4,-,-,-,2,2,английский,немецкий,-,3
600,фундаментальный, интересный, образовательный,Исторический факультет,7,5,  -,Государственное управление,1,Отец,1,2,1,2,  -, -,РГГУ,политологии,1,2,3, -,4,МГУ, -,65,68,67,69,56,3,2,3,2,1,2,3,1,3,4,8,,, ,1,3,17,1,1,-,-,7,4,-,-,-,5,1,английский,-,-,3
601,уютный, домашний, родной,Филологический факультет,8,3,  -, -,2,  -,  -,1,1,  -,  -, -,Плехановский,экономический,2, -, -, -,4,МГУ, -,70,95,67,88,62,5,3,2,3,4,4,5,3,2,5,8,,,,3,3,17,1,2,Геленджик,-,4,4,-,-,-,6,1,английский,-,-,3
602,интересный,увлекательный,завораживающий,Факультет иностранных языков и регионоведения,10,2,  -,журфак,2,  -,  -,2,2,3,5, -,ЛГМУ,журфак,1,3,4, -,1, -, -,50,78,63,68,62,5,5,4,3,5,3,2,5,4,2,8,журнал,,,1,2,18,2,1,-,-,4,4,-,-,-,6,2,французский,английский,-,3
603,интересный, перспективный, отличный,Факультет мировой политики,10,"2,3,6",  -, -,2,  -,  -,4,  -,  -,  -,репетитор-выпускник экономфака МГУ,МГУ,экономический,2, -, -, -,1.5, -, -,77,100,63,68,62,3,3,2,5,5,1,3,1,1,3,10,,,,2,2,16,2,1,-,-,4,4,-,-,-,6,2,английский,немецкий,-,3
604,традиционный, интересный, старинный,Исторический факультет,10,1,  -,"ВМК, МехМат",1,"Дедушка, родители друзей",2,4,  -,  -,  -,это был исключительно мой выбор,МИРЭА,ИТ,3, -, -, -,1, -, -,77,78,63,68,62,2,1,2,2,2,2,2,1,2,2,8,пока не решил,,,3,2,18,1,1,-,-,4,4,-,-,-,4,1,английский,-,-,1
605,интересный, перспективный,увлекательный,Факультет государственного управления,8,5,  -,исторический,2,  -,  -,2,  -,  -,  -,собственное мнение,РГГУ,юрфак.,1,2,3, -,1, -, -,35,89,91,65,98,3,1,4,1,1,2,1,1,2,3,6,счетная палата,аналитическое обеспечение,аналитик,3,2,17,1,1,-,-,2,2,-,-,-,4,1,английский,-,-,3
606,,,,Экономический факультет,7,1,  -, -,2,  -,  -,5,1,  -,  -, -,РАНХиГС,нац.экономика,2, -, -, -,5, -, -,70,90,68,57,49,2,2,3,2,1,1,4,1,3,1,10,Fenter,менеджер,"не представляю, чем занимаются менеджеры",1,2,18,1,1,-,-,7,4,-,-,-,3,1,английский,-,-,3
607,потрясающий, великолепный, замечательный,Юридический факультет,7,2,  -,менеджмент,1,друг,1,1,2,  -,  -, -,ВШЭ,МИЭФ,1, -, -, -,5, -, -,75,80,60,90, -,3,2,2,1,1,1,5,5,1,5,7,З.О.,,,1,3,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
608,Перспективный, красивый, полезный,Факультет политологии,10,5,  -,"Социологический, Государственное управление",1,знакомые,2,4,1,  -,  -, -,ВШЭ,экономический,1,2,3, -,"1,2,5", -, -,80,90,100, -, -,1,4,3,1,2,1,2,2,1,5,10,З.О.,,,1,2,18,2,1,-,-,4,4,-,-,-,6,3,английский,немецкий,французский,3
